START STOP SIZE STRAND GENE
30897001 33117383 2220382 - DMD
28365215 29734493 1369278 + IL1RAPL1
103617140 104817967 1200827 + IL1RAPL2
95745855 96666137 920282 + DIAPH2
90895803 91684371 788568 + PCDH11X
85209769 85893735 683966 + DACH2
11916241 12500186 583945 + FRMPD4
123239869 123823201 583332 - ODZ1
10915323 11443478 528155 - ARHGAP6
147287684 147787753 500069 + AFF2
132395297 132845186 449889 - GPC3
68618931 69042340 423409 + EDA
41135596 41538522 402926 - CASK
67045735 67436668 390933 - OPHN1
69531811 69911588 379777 - TEX11
111132397 111506618 374221 + ZCCHC16
17153199 17513768 360569 + NHS
19313176 19665376 352200 - SH3KBP1
5667820 6005624 337804 - NLGN4X
113641530 113967604 326074 + HTR2C
110823686 111132149 308463 - TRPC5
122043692 122348328 304636 + GRIA3
24471720 24774757 303037 + POLA1
107204990 107488856 283866 - COL4A6
76567335 76847847 280512 - ATRX
129482893 129762743 279850 - COVA1
21152636 21430436 277800 + CNKSR2
107489298 107746920 257622 + COL4A5
9242774 9497513 254739 + TBL1X
71332387 71575674 243287 - HDAC8
44489034 44728097 239063 + UTX
18203413 18431402 227989 + CDKL5
50167682 50390080 222398 - SHROOM4
21810215 22025985 215770 + PHEX
8306650 8509963 203313 - KAL1
57196159 57398647 202488 + FAAH2
16724470 16925392 200922 + REPS2
43764164 43959172 195008 - EFHC2
73736432 73928005 191573 - KIAA2022
117411752 117601990 190238 + DOCK11
153627772 153814702 186930 - F8
84925656 85108711 183055 - CHM
83382350 83563603 181253 - CXorf43
66546894 66727140 180246 + AR
109052487 109227045 174558 + TMEM164
10225901 10398195 172294 - MID1
13551753 13716488 164735 - GPM6B
9564231 9727217 162986 + SHROOM2
54105875 54267459 161584 - WNK3
86578961 86731195 152234 + KLHL4
46222626 46374726 152100 - SLC9A7
74375081 74525896 150815 - ZDHHC15
46528121 46676894 148773 + PHF16
30608107 30752858 144751 - MAP3K7IP3
122821123 122961881 140758 + STAG2
76972343 77111584 139241 + ATP7A
18468701 18605692 136991 + PPEF1
104872680 105008744 136064 + NRK
