# ALPHA = 0.05
# NUMBER_OF_TESTS = 1

# _SET1_  VARIABLE = Chr22 (set)
# _SET1_  NGENES = 20
# _SET1_  P-VALUE = 0.000156254
_SET1_   GENE     CHR     START      STOP  NSNPS  NPARAM    N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   23523     22  24407642  24574596      1       1  192       0.2727      0.33198    5.5511e-17       0.2727
_SET1_   114904    22  37576206  37594341      1       1  192      0.41542      0.33833    5.5511e-17      0.41542
_SET1_   5880      22  37621301  37640339      2       2  192       2.9689    0.0006743             0       2.9689
_SET1_   2033      22  41488614  41576081      1       1  192      0.99745      0.14076             0      0.99745
_SET1_   150356    22  41605861  41636935      1       1  192       1.7792     0.040348             0       1.7792
_SET1_   7008      22  41763337  41795332      1       1  192      0.91749      0.15737             0      0.91749
_SET1_   50        22  41865099  41924993      1       1  192       1.6398     0.045513             0       1.6398
_SET1_   5372      22  41972890  41985871      1       1  192      0.80392      0.23151             0      0.80392
_SET1_   150365    22  42095518  42195459      2       2  192       1.2109      0.05211             0       1.2109
_SET1_   79879     22  42196636  42228175      1       1  192       1.4892     0.075382             0       1.4892
_SET1_   6721      22  42229083  42303312      7       4  192       2.1646     0.012671             0       2.1646
_SET1_   440829    22  42305558  42310671      1       1  192        2.939    0.0020591             0        2.939
_SET1_   79019     22  42334531  42343155      1       1  192       2.5525    0.0059044             0       2.5525
_SET1_   55964     22  42372855  42394225      4       2  192       2.8771   0.00077055             0       2.8771
_SET1_   164684    22  42391607  42428935      7       2  192        2.605   0.00069317             0        2.605
_SET1_   4668      22  42454338  42466852      3       2  192       2.8802   0.00091125             0       2.8802
_SET1_   4700      22  42481530  42486888      2       1  192       3.5424   0.00034808             0       3.5424
_SET1_   6942      22  42556019  42664768     25       5  192       3.4528   0.00016134             0       3.4528
_SET1_   23313     22  45588123  45636650      1       1  192     -0.32635       0.6148    5.5511e-17     -0.32635
_SET1_   5465      22  46546458  46639653      3       3  192     -0.28213      0.51662    5.5511e-17     -0.28213
