START STOP SIZE STRAND GENE
58576754 59308794 732040 - RORA
31390468 31945594 555126 + RYR3
74427591 74963247 535656 - ZNF291
82113841 82499595 385754 + ADAMTSL3
86220991 86600665 379674 - NTRK3
54998124 55368004 369880 + TCF12
83724874 84093590 368716 + AKAP13
98331992 98699650 367658 - ADAMTS17
63974692 64333129 358437 - MEGF11
25673627 26018061 344434 - OCA2
90197949 90507783 309834 + SLCO3A1
97010287 97319034 308747 + IGF1R
47407885 47700407 292522 - C15orf33
69905416 70197245 291829 - MYO9A
65622074 65886506 264432 + MAP2K5
47937726 48198711 260985 - ATP8B4
71131927 71382835 250908 + NEO1
65334247 65581193 246946 + IQCH
51594656 51839151 244495 - WDR72
57215855 57452363 236508 - MYO1E
46489478 46724391 234913 - FBN1
24342555 24570020 227465 - GABRB3
61687870 61913140 225270 - HERC1
50392601 50608539 215938 - MYO5A
34674386 34889739 215353 + C15orf41
26029782 26240845 211063 - HERC2
34970524 35180792 210268 - MEIS2
59931879 60139939 208060 - VPS13C
27001144 27197807 196663 + APBA2
89444548 89639514 194966 + SV2B
60726801 60920733 193932 + TLN2
23473512 23659963 186451 - ATP10A
37679523 37862323 182800 - FSIP1
92642498 92823267 180769 + MCTP2
33450374 33625656 175282 - ATPBD4
55455996 55630212 174216 + CGNL1
49528180 49702241 174061 - DMXL2
47235267 47409294 174027 + GALK2
31945720 32118595 172875 - AVEN
78858766 79031054 172288 + KIAA1199
29562620 29734834 172214 - OTUD7A
81907286 82078495 171209 + SH3GL3
53906422 54073127 166705 - NEDD4
41024818 41185512 160694 - UBR1
68972040 69129488 157448 + LRRC49
83326208 83483374 157166 + PDE8A
22619886 22774822 154936 + SNRPN
56676368 56829469 153101 - ADAM10
66658645 66807193 148548 + CORO2B
74139353 74284358 145005 + C15orf27
98758122 98902448 144326 - LASS3
46903226 47042933 139707 - SHC4
61986288 62125574 139286 - DAPK2
30110017 30248525 138508 + CHRNA7
39058372 39195632 137260 - INOC1
56511466 56648364 136898 + LIPC
97609174 97744019 134845 + LRRC28
66133625 66267456 133831 + PIAS1
66381097 66511546 130449 - ITGA11
79262254 79392156 129902 + IL16
65145248 65274586 129338 + SMAD3
49288961 49418086 129125 - CYP19A1
62250880 62379879 128999 - CSNK1G1
77041340 77169895 128555 - RASGRF1
42368220 42495247 127027 + CASC4
48639782 48766260 126478 - TRPM7
67009917 67136127 126210 + NOX5
27779650 27901998 122348 - TJP1
91244422 91366396 121974 + CHD2
37880222 38000385 120163 - GPR176
97956184 98071524 115340 + MEF2A
55671522 55786445 114923 + Gcom1
88732476 88846479 114003 + IQGAP1
32935844 33049287 113443 - AQR
97494050 97607246 113196 - TTC23
56032918 56145198 112280 - ALDH1A2
73546514 73658680 112166 - PTPN9
67240026 67351598 111572 + GLCE
20444124 20555043 110919 + CYFIP1
57067156 57176543 109387 + RNF111
70553720 70662877 109157 + ARIH1
68733947 68842904 108957 - UACA
87432627 87541199 108572 + ABHD2
67378347 67486098 107751 + PAQR5
64466678 64570935 104257 + MAP2K1
54709667 54813079 103412 - SUHW4
41486698 41590028 103330 - TP53BP1
54166770 54269422 102652 - RFXDC2
23133488 23235221 101733 - UBE3A
42642191 42743138 100947 - KIAA1840
29080844 29181216 100372 - TRPM1
89061605 89159601 97996 + BLM
42507118 42605109 97991 + CTDSPL2
81314788 81412477 97689 - HOMER2
50661152 50758101 96949 - KIAA1370
74295690 74390784 95094 - ETFA
48988237 49082859 94622 + AP4E1
61583862 61670714 86852 + USP3
32312957 32398222 85265 - SLC12A6
57517663 57602479 84816 + FAM81A
81009640 81094275 84635 - CPEB1
76074382 76156912 82530 - TBC1D2B
73450329 73530979 80650 - SIN3A
54444935 54525363 80428 + TEX9
49909180 49989136 79956 + TMOD3
64781723 64861380 79657 + SMAD6
88345755 88425029 79274 + ZNF710
78139075 78217765 78690 + ZFAND6
40353785 40432359 78574 + GANC
61268780 61347024 78244 + RAB8B
53509797 53587724 77927 - DYX1C1
48356746 48434642 77896 - GABPB2
96797913 96875134 77221 - FLJ39743
36567597 36644224 76627 - RASGRP1
99533455 99609649 76194 - CHSY1
48503870 48579263 75393 + USP8
90738143 90812960 74817 + ST8SIA2
71639415 71712747 73332 - NPTN
39978932 40052034 73102 - EHD4
63526027 63597095 71068 - DPP8
100011477 100082168 70691 - TARSL2
50200414 50270857 70443 - GNB5
46820636 46890519 69883 - CEP152
81597819 81667325 69506 - HDGFRP3
