GENE       CHR      START       STOP  NSNPS  NPARAM    N        ZSTAT            P          RSQ      RSQ_ADJ
55187        1   12290101   12572099      1       1  192       1.8896     0.029407     0.024721     0.019588
90529        1   24683489   24741587      1       1  192      0.10656      0.45757    0.0029078            0
23585        1   25664789   25688852      1       1  192      -1.2108      0.88702   0.00010651            0
8431         1   27237975   27240567      1       1  192      -1.2979      0.90285   7.8625e-05            0
199870       1   28052490   28089426      1       1  192    -0.042521      0.51696    0.0022137            0
1441         1   36931644   36948915      1       1  192     -0.69858      0.75759   0.00050257            0
3633         1   38326369   38412729      1       1  192      -1.6444      0.94995   2.0792e-05            0
23499        1   39549839   39952810      1       1  192    -0.067989       0.5271    0.0021084            0
54802        1   40306703   40349177      1       1  192        1.286     0.099225      0.01424    0.0090521
57643        1   45482071   45672250      1       1  192     -0.63169      0.73621   0.00059871            0
1580         1   47264670   47285021      3       2  192     -0.35396      0.63831    0.0047393            0
2882         1   53068043   53074723      1       1  192     -0.11008      0.54383    0.0019427            0
6512         1   53552855   53608304      1       1  192     -0.30187      0.61862    0.0013068            0
7268         1   55181495   55208330      1       1  192       1.0492      0.14705     0.011034    0.0058292
1600         1   57460453   58716211      1       1  192      -2.6104      0.99548   1.6947e-07            0
1573         1   60358980   60392445      1       1  192       0.4315      0.33305    0.0049323            0
5733         1   71318036   71513497      1       1  192      -1.3238      0.90721   7.1685e-05            0
127253       1   75198836   75232361      1       1  192     -0.38128       0.6485    0.0010959            0
24           1   94458393   94586705      6       6  192      0.78043      0.21757      0.04337     0.012344
1806         1   97543299   98386615      6       6  192      -1.1124      0.86701     0.013349            0
6566         1  113454469  113498975      1       1  192     -0.19345       0.5767     0.001643            0
55356        1  116519119  116612675      1       1  192      0.67833      0.24878    0.0069946    0.0017682
2330         1  146655884  146697390      2       2  192     -0.15273      0.56069    0.0061039            0
1942         1  155100349  155107386      1       1  192      -1.8016       0.9642   1.0632e-05            0
128239       1  156495197  156542396      1       1  192       1.1426      0.12661     0.012239    0.0070403
4259         1  165600110  165625373      1       1  192      0.44998      0.32636    0.0050704            0
92235        1  167063314  167098402      1       1  192     -0.96625      0.83304   0.00023447            0
9019         1  167691187  167761156      1       1  192      0.39147      0.34772    0.0046422            0
2153         1  169481192  169555769      2       2  192      0.55072      0.29091     0.012981    0.0025363
6401         1  169691781  169703220      1       1  192       1.2042      0.11426     0.013076     0.007882
2326         1  171217610  171255113      3       3  192      0.94881      0.17136     0.026208     0.010668
26092        1  179851177  179889212      1       1  192        -1.36      0.91309   6.2856e-05            0
127665       1  182023705  182030847      1       1  192      0.15965      0.43658    0.0031889            0
5743         1  186640944  186649559      1       1  192     0.090615       0.4639     0.002827            0
5317         1  201252580  201302121      1       1  192      0.93155      0.17579    0.0096256    0.0044131
3898         1  201349966  201368669      1       1  192      0.33695      0.36808     0.004266            0
89796        1  201508243  201796102      1       1  192      0.59658      0.27539    0.0062583     0.001028
23114        1  204797782  204991950      1       1  192     -0.69167      0.75543   0.00051188            0
148808       1  205538112  205572046      1       1  192      0.78937      0.21495    0.0080821    0.0028614
148811       1  205797150  205819276      1       1  192      0.68557      0.24649    0.0070624    0.0018364
9641         1  206643586  206670223      1       1  192     0.078535       0.4687    0.0027668            0
29949        1  206972215  207016326      1       1  192      0.33811      0.36764    0.0042738            0
1063         1  214776522  214837914      1       1  192       2.0365      0.02085     0.027782     0.022665
824          1  223889295  223963720      1       1  192      0.39023      0.34818    0.0046334            0
84033        1  228395740  228566577      1       1  192       1.6426     0.050237     0.020026     0.014868
128061       1  231359509  231376933      1       1  192      0.51939      0.30174     0.005612   0.00037834
7257         1  231664399  231702270      1       1  192      0.70039      0.24184    0.0072025    0.0019772
81470        1  247751662  247752615      1       1  192      -1.1401      0.87288   0.00013508            0
8648         2   24714919   24993571      1       1  192     -0.57705      0.71805   0.00068774            0
151056       2   28718938   28866654      1       1  192      0.53427      0.29658    0.0057329   0.00049993
7498         2   31557188   31637611      1       1  192      0.43055       0.3334    0.0049253            0
5610         2   37332281   37384190      1       1  192      0.30169      0.38144    0.0040343            0
1545         2   38294746   38303323      1       1  192      -1.6787      0.95339   1.8027e-05            0
6546         2   40339286   40739575      1       1  192      0.48997      0.31208    0.0053779   0.00014303
51626        2   44001178   44055095      1       1  192      0.21867      0.41345    0.0035233            0
64240        2   44039611   44066039      1       1  192      0.21867      0.41345    0.0035233            0
90411        2   47129009   47168994      1       1  192       1.6871     0.045796      0.02083     0.015677
23198        2   54091204   54197977      1       1  192      0.94438      0.17249    0.0097734    0.0045617
129852       2   54558006   54588714      1       1  192     0.077175      0.46924    0.0027601            0
64395        2   70056818   70106727      1       1  192     -0.02778      0.51108    0.0022763            0
8291         2   71680347   71913895      1       1  192     -0.31203      0.62249    0.0012782            0
56603        2   72356367   72374991      1       1  192     -0.17009      0.56753    0.0017232            0
9486         2  101008322  101034130      1       1  192     -0.37543      0.64633    0.0011105            0
130827       2  103378490  103450948      1       1  192     0.034035      0.48642    0.0025531            0
6819         2  108905095  108926371      1       1  192      -0.2558      0.60095    0.0014426            0
3553         2  113587337  113594356      1       1  192     -0.72087      0.76451   0.00047346            0
57628        2  115199899  116603328      1       1  192     -0.47069      0.68107   0.00089101            0
8886         2  118572255  118589953      1       1  192      -0.6322      0.73637   0.00059793            0
29994        2  160175490  160473059      1       1  192     -0.47027      0.68092   0.00089191            0
8647         2  169779336  169887833      2       2  192      0.50481      0.30684     0.012424    0.0019734
8604         2  172639915  172750816      1       1  192      0.31143      0.37774    0.0040974            0
91752        2  185463093  185804214      1       1  192      -0.1163      0.54629     0.001919            0
6775         2  191894302  192037404      1       1  192      0.52236      0.30071     0.005636   0.00040251
316          2  201450731  201536218      2       2  192     0.012395      0.49506    0.0074125            0
54576        2  234526291  234681946      3       3  192      0.25466      0.39949     0.015525            0
54575        2  234545123  234681951      3       3  192      0.25466      0.39949     0.015525            0
54600        2  234580544  234681951      3       3  192      0.25466      0.39949     0.015525            0
54577        2  234590584  234681945      3       3  192      0.25466      0.39949     0.015525            0
54578        2  234600321  234681951      1       1  192       1.1152      0.13239     0.011878    0.0066769
54579        2  234621638  234681945      1       1  192       1.1152      0.13239     0.011878    0.0066769
54657        2  234627438  234681945      1       1  192       1.1152      0.13239     0.011878    0.0066769
54659        2  234637773  234681945      1       1  192       1.1152      0.13239     0.011878    0.0066769
54658        2  234668919  234681945      1       1  192       1.1152      0.13239     0.011878    0.0066769
55355        2  234745486  234763212      1       1  192      0.71502       0.2373    0.0073427    0.0021182
51738        3   10327434   10334631      1       1  192      -0.8286      0.79634   0.00035145            0
5468         3   12329349   12475855      2       2  192  -0.00061187      0.50024    0.0073029            0
23225        3   13357730   13461819      1       1  192    -0.042364       0.5169    0.0022143            0
27303        3   29322351   30051886      1       1  192     -0.19707      0.57811    0.0016308            0
4292         3   37034841   37092337      1       1  192     -0.15504      0.56161    0.0017764            0
9389         3   38323785   38360064      1       1  192      -1.7418      0.95923   1.3791e-05            0
10869        3   49145479   49158371      1       1  192       0.9201      0.17876     0.009495    0.0042818
6405         3   50192562   50226508      1       1  192      0.54235      0.29379    0.0057993   0.00056666
2317         3   57994127   58157982      1       1  192     -0.25166      0.59935    0.0014553            0
5793         3   61547243   62280573      1       1  192     0.018509      0.49262    0.0024814            0
56987        3  107241783  107530176      1       1  192       -1.502      0.93345     3.68e-05            0
8856         3  119499331  119552295      1       1  192      0.81234       0.2083    0.0083199    0.0031005
8607         3  127799800  127872752      1       1  192     -0.56411      0.71366    0.0007103            0
6578         3  133651540  133748920      1       1  192     -0.60469      0.72731   0.00064148            0
9435         3  142838618  142842856      1       1  192     -0.37667      0.64679    0.0011074            0
84107        3  147103835  147124596      1       1  192     -0.26681      0.60519    0.0014092            0
57560        3  159974774  160118028      1       1  192     -0.45653      0.67599   0.00092132            0
57552        3  172348435  172429207      1       1  192      -1.5827      0.94325   2.6736e-05            0
55486        3  183543522  183602693      1       1  192      0.35743      0.36039    0.0044047            0
10057        3  183637722  183735803      1       1  192      0.65243      0.25706    0.0067555    0.0015279
132112       3  186915274  186919253      1       1  192       -0.874      0.80894   0.00030847            0
344905       3  192992831  193096514      1       1  192       3.5373   0.00020216     0.070287     0.065394
9079         4   16503164   16900424      1       1  192     -0.18021      0.57151    0.0016881            0
2555         4   46246470   46392056      1       1  192      0.50911      0.30534    0.0055294   0.00029538
7363         4   70345883   70391732      1       1  192        1.112      0.13307     0.011836    0.0066353
574537       4   70454135   70505360      2       1  192      -1.6202      0.94741   2.2959e-05            0
10941        4   70454135   70518967      3       2  192      -2.2893      0.98897   0.00011737            0
6783         4   70706930   70725870      1       1  192    -0.019121      0.50763    0.0023137            0
51170        4   88257691   88312455      1       1  192      -0.3217      0.62616    0.0012515            0
1758         4   88571454   88585513      1       1  192       0.7717      0.22015    0.0079022    0.0026806
9429         4   89011416   89152569      1       1  192      0.80632      0.21003    0.0082571    0.0030374
5910         4   99182527   99365012      1       1  192      -0.3671      0.64323    0.0011315            0
127          4  100044832  100065449      1       1  192      -1.2744      0.89874   8.5456e-05            0
131          4  100333418  100356667      1       1  192      0.22198      0.41216    0.0035428            0
4547         4  100485240  100545154      2       2  192       2.0142     0.021996     0.039586     0.029422
132320       4  129805148  130014764      1       1  192      0.48076      0.31534    0.0053059   7.0672e-05
4258         4  140586922  140661899      1       1  192       1.9466     0.025793     0.025885     0.020758
987          4  151185811  151936879      1       1  192     -0.45531      0.67556   0.00092394            0
56884        4  162305044  163085186      1       1  192      0.68392      0.24701    0.0070469    0.0018209
55247        4  178230991  178284092      1       1  192      -2.0862      0.98152    2.832e-06            0
55714        4  183065112  183724177      1       1  192     -0.10704      0.54262    0.0019543            0
441054       4  186347220  186370982      1       1  192       -1.029      0.84827   0.00019316            0
2160         4  187187099  187210835      2       2  192      0.23959      0.40532    0.0095108            0
348932       5    1225470    1246304      1       1  192      -2.8829      0.99803   3.2171e-08            0
651746       5   10564435   10657928      1       1  192       1.1546      0.12413       0.0124    0.0072017
5810         5   34905365   34915780      1       1  192     -0.43271      0.66739   0.00097405            0
730          5   40909599   40983041      1       1  192       1.3637     0.086336     0.015402      0.01022
345557       5   41307048   41510730      1       1  192     0.066084      0.47366    0.0027057            0
3157         5   43287572   43313614      1       1  192      0.16755      0.43347    0.0032323            0
375449       5   65892176   66465426      1       1  192       1.0528      0.14621      0.01108     0.005875
2150         5   76114833   76131140      1       1  192     -0.87403      0.80895   0.00030844            0
8622         5   76476082   76724081      1       1  192      0.40449      0.34293    0.0047352            0
133746       5   78531925   78623038      1       1  192      0.12672      0.44958    0.0030123            0
134526       5   80625731   80689988      1       1  192      -0.1972      0.57816    0.0016304            0
1946         5  106712590  107006596      1       1  192      -0.3402      0.63315    0.0012015            0
6583         5  131630145  131679899      2       2  192       1.0154      0.15497     0.019537    0.0091619
6584         5  131705396  131731306      3       3  192      0.76177       0.2231     0.022977    0.0073858
995          5  137620959  137674064      1       1  192     -0.47625      0.68305   0.00087934            0
56114        5  140709388  140892546      1       1  192       1.3269     0.092266     0.014846    0.0096607
56113        5  140718354  140892546      1       1  192       1.3269     0.092266     0.014846    0.0096607
56112        5  140723601  140892546      1       1  192       1.3269     0.092266     0.014846    0.0096607
56104        5  140729828  140892546      1       1  192       1.3269     0.092266     0.014846    0.0096607
56111        5  140734768  140892546      1       1  192       1.3269     0.092266     0.014846    0.0096607
56103        5  140739409  140892546      1       1  192       1.3269     0.092266     0.014846    0.0096607
56110        5  140743729  140892546      1       1  192       1.3269     0.092266     0.014846    0.0096607
56109        5  140749811  140892546      1       1  192       1.3269     0.092266     0.014846    0.0096607
