geneid chr left right
MEGF6 1 3489920 3611495
CHD5 1 6101793 6180123
ENO1 1 8861002 8879249
DRAXIN 1 11691729 11725857
ZBTB17 1 15941869 15976132
FAM131C 1 16057769 16073632
ATP13A2 1 16985958 17011928
PAX7 1 18631006 18748866
AKR7A3 1 19282558 19289250
DDOST 1 20652194 20661544
TCEA3 1 23381061 23424740
RSRP1 1 25242237 25337916
ZNF362 1 33256545 33300719
C1orf94 1 34166883 34219131
MTF1 1 37809567 37859620
P3H1 1 42746335 42767084
MPL 1 43337807 43352772
ERI3 1 44221070 44355260
GPBP1L1 1 45627304 45687146
CYP4Z1 1 47067488 47118319
MRPL37 1 54184041 54225431
C1orf168 1 56718804 56819696
MYSM1 1 58654739 58700092
INADL 1 61742477 62163920
ALG6 1 63367590 63438562
ROR1 1 63774022 64181498
CACHD1 1 64470792 64693058
WDR78 1 66812885 66924887
LRRC40 1 70144805 70205620
ZRANB2 1 71063291 71081297
GBP1 1 89052319 89065360
BRDT 1 91949371 92014426
ABCD3 1 94418455 94518666
SLC44A3 1 94820342 94895246
FRRS1 1 99708703 99765793
GSTM2 1 109668022 109709551
DENND2D 1 111187174 111204535
HIPK1 1 113929319 113977869
SYCP1 1 114854803 114995370
TTF2 1 117060303 117107453
WARS2 1 119031216 119140395
PHGDH 1 119659798 119744215
FMO5 1 147175351 147243050
ECM1 1 150508062 150513789
SETDB1 1 150926263 150964744
ARHGEF2 1 155946851 156007070
GPATCH4 1 156594487 156601490
NTRK1 1 156815640 156881850
ATP1A2 1 160115773 160143591
HSD17B7 1 162790702 162812817
GPR161 1 168079543 168137667
ATP1B1 1 169105697 169132530
FMO4 1 171314208 171342084
RABGAP1L 1 174159410 174995308
BRINP2 1 177171497 177282422
LAMC2 1 183186238 183244900
F13B 1 197039191 197067267
PTPRC 1 198638671 198757283
PPP1R12B 1 202348699 202590595
ATP2B4 1 203626561 203744081
PM20D1 1 205828022 205850132
NEK2 1 211658657 211675630
URB2 1 229626234 229660199
CAPN9 1 230747384 230802003
LGALS8 1 236518000 236552981
KMO 1 241532134 241595642
WDR64 1 241652278 241802133
CEP170 1 243124428 243255348
ACOT7 1 6264269 6393554
THAP3 1 6624866 6634167
PGD 1 10398592 10420144
WDTC1 1 27234516 27308633
TMEM53 1 44635238 44674555
SLC5A9 1 48222685 48248644
GBP2 1 89106132 89126114
WDR3 1 117929720 117965096
NBPF15 1 144421386 144461674
DAP3 1 155687960 155739010
PYHIN1 1 158930796 158977054
VANGL2 1 160400586 160428678
QSOX1 1 180154834 180204030
C1orf159 1 1081818 1116361
CLSTN1 1 9729115 9824526
VPS13D 1 12230067 12512047
KDM1A 1 23019448 23083689
POLR3C 1 145824088 145842505
RAP1GAP 1 21596215 21669363
ZMYM4 1 35268967 35422058
KDM4A 1 43650158 43705515
CLCA4 1 86547078 86580754
CLK2 1 155262868 155278491
CD1E 1 158353696 158357553
ASPM 1 197084128 197146694
MIA3 1 222618086 222668012
OBSCN 1 228208130 228378876
