# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
GENE       CHR      START       STOP  NSNPS  NPARAM    N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
55187        1   12290101   12572099      1       1  192       1.8869             0       1.8869
90529        1   24683489   24741587      1       1  192      0.14823    2.7756e-17      0.14823
23585        1   25664789   25688852      1       1  192      -1.2826             0      -1.2826
8431         1   27237975   27240567      1       1  192      -1.3673             0      -1.3673
199870       1   28052490   28089426      1       1  192     -0.30846    5.5511e-17     -0.30846
1441         1   36931644   36948915      1       1  192     -0.96452             0     -0.96452
3633         1   38326369   38412729      1       1  192      -1.6229             0      -1.6229
23499        1   39549839   39952810      1       1  192     -0.15584    2.7756e-17     -0.15584
54802        1   40306703   40349177      1       1  192       1.1951             0       1.1951
57643        1   45482071   45672250      1       1  192     -0.70107             0     -0.70107
1580         1   47264670   47285021      3       2  192     -0.66723             0     -0.66723
2882         1   53068043   53074723      1       1  192    -0.073221    2.7756e-17    -0.073221
6512         1   53552855   53608304      1       1  192     -0.30238    5.5511e-17     -0.30238
7268         1   55181495   55208330      1       1  192       1.1235             0       1.1235
1600         1   57460453   58716211      1       1  192      -2.6154             0      -2.6154
1573         1   60358980   60392445      1       1  192      0.46098    5.5511e-17      0.46098
5733         1   71318036   71513497      1       1  192      -1.4926             0      -1.4926
127253       1   75198836   75232361      1       1  192     -0.46913    5.5511e-17     -0.46913
24           1   94458393   94586705      6       6  192      0.60878             0      0.60878
1806         1   97543299   98386615      6       6  192      -1.2448             0      -1.2448
6566         1  113454469  113498975      1       1  192      -0.1399    2.7756e-17      -0.1399
55356        1  116519119  116612675      1       1  192      0.53497             0      0.53497
2330         1  146655884  146697390      2       2  192     -0.43141    5.5511e-17     -0.43141
1942         1  155100349  155107386      1       1  192      -1.7419             0      -1.7419
128239       1  156495197  156542396      1       1  192       1.1979             0       1.1979
4259         1  165600110  165625373      1       1  192       0.4653    5.5511e-17       0.4653
92235        1  167063314  167098402      1       1  192     -0.90277             0     -0.90277
